Codigo,Area,Quartos,Banheiros,Suites,Vagas,Condominio,Endereco,IPTU,Titulo,Preco
358,90m2,3,2,1,2,600,"Rua Coronel Jairo Pereira, 580",183,apartamento para alugar no palmares,R$ 2.000
361,110m2,3,2,1,1,260,"Avenida Uruguai, 805",153,apartamento para alugar no sion,R$ 1.600
364,98m2,3,1,0,1,350,"Rua Flórida, 40",131,apartamento para alugar no sion,R$ 1.300
366,80m2,3,1,0,1,300,"Rua São Bento, 300",116,apartamento para alugar no graça,R$ 1.500
368,83m2,3,2,1,2,580,"Rua Itaparica, 45",140,apartamento para alugar no serra,R$ 1.750
369,120m2,3,2,1,2,500,"Rua Haiti, 19",160,apartamento para alugar no sion,R$ 1.400
370,105m2,3,2,1,1,215,"Rua Barbosa De Resende, 131",89,apartamento para alugar no grajau,R$ 1.300
371,55m2,2,1,0,1,201,"Rua Das Clarissas, 67",30,apartamento para alugar no planalto,R$ 690
373,100m2,2,4,2,3,740,"Alameda Do Ingá, 685",59,apartamento para alugar no vila da serra,R$ 3.100
374,90m2,3,1,0,0,390,"Avenida Afonso Pena, 2729",55,apartamento para alugar no funcionarios,R$ 1.200
376,85m2,3,2,1,2,250,"Rua Joviano Naves, 256",155,apartamento para alugar no palmares,R$ 1.600
378,109m2,3,2,1,2,859,"Rua Abre Campo, 434",180,apartamento para alugar no santo antonio,R$ 1.900
380,100m2,2,2,1,2,450,"Rua Deputado álvaro Sales, 300",184,apartamento para alugar no santo antonio,R$ 2.200
381,90m2,3,2,1,2,850,"Rua Montes Claros, 475",310,apartamento para alugar no sion,R$ 2.300
385,95m2,3,2,1,2,837,"Rua Conselheiro Andrade Figueira, 82",159,apartamento para alugar no gutierrez,R$ 1.800
389,70m2,3,2,1,1,224,"Rua São Roque, 1293",94,apartamento para alugar no sagrada familia,R$ 1.300
395,80m2,2,1,1,1,230,"Avenida Cristiano Machado, 1868",109,apartamento para alugar no cidade nova,R$ 1.250
398,60m2,2,1,0,1,200,"Rua Paulo Piedade Campos, 301",58,apartamento para alugar no estoril,R$ 850
399,140m2,4,3,2,3,350,"Avenida Protásio De Oliveira Penna, 160",280,apartamento para alugar no buritis,R$ 2.800
402,70m2,3,1,0,1,180,"Rua Mairink, 68",67,apartamento para alugar no caicara,R$ 900
403,90m2,3,1,1,2,220,"Rua Júlio Pereira Da Silva, 372",136,apartamento para alugar no cidade nova,R$ 1.800
404,60m2,1,1,0,2,N/D,"Rua João Camilo De Oliveira Torres, 350",150,apartamento para alugar no mangabeiras,R$ 2.260
406,60m2,2,2,1,1,424,"Avenida Renascença, 108",99,apartamento para alugar no renascenca,R$ 1.100
410,86m2,3,2,1,1,700,"Rua Corinto, 217",150,apartamento para alugar no serra,R$ 1.700
412,130m2,3,2,1,1,612,"Rua Francisco Deslandes, 680",196,apartamento para alugar no anchieta,R$ 2.100
